Wesp;Datum;Waarnemer;Beginuur;Duurtag;Voor/Na;Controle/Impact;WL1;WL2;WL3;averageWL;varWL;WW1;WW2;WW3;averageWW;varWW;ITS1;ITS2;ITS3;averageITS;varITS;0;0.5;1;1.5;2;2.5;3;3.5;4;4.5;5;5.5;6;6.5;7;7.5;8;8.5;9;9.5;10;10.5;11;11.5;12;somv;somk;somr;somw;somg;somb;somalles;percv;perck;percr;percw;percg;percb
Lefou;20/jun;Eliane;14:34;3;na;impact;11.3;11.25;11.42;11.32;0.007633333;3.3;3.1;3.33;3.24;0.015633333;3.28;3.31;3.37;3.32;0.0021;w;k;r;k;r;k;v;k;k;k;r;r;r;r;r;r;r;k;r;r;r;r;r;r;r;1;7;16;1;0;0;25;0.04;0.28;0.64;0.04;0;0
Lee;20/jun;Eliane;16:54;4;voor;impact;12.21;12.12;12.18;12.17;0.0021;3.63;3.52;3.61;3.59;0.003433333;3.95;3.78;3.78;3.84;0.009633333;v;k;k;w;k;k;k;k;k;k;k;k;k;w;k;k;w;w;k;k;k;k;k;k;k;1;20;0;4;0;0;25;0.04;0.8;0;0.16;0;0
Lee;20/jun;Eliane;16:54;4;na;impact;12.21;12.12;12.18;12.17;0.0021;3.63;3.52;3.61;3.59;0.003433333;3.95;3.78;3.78;3.84;0.009633333;w;k;k;k;k;v;k;v;k;k;k;k;w;k;k;k;k;k;k;k;k;k;k;v;r;3;19;1;2;0;0;25;0.12;0.76;0.04;0.08;0;0
Pierre;20/jun;Ward;17:03;3;voor;impact;11.06;10.96;11.19;11.07;0.0133;3.32;3.32;3.25;3.3;0.001633333;3.45;3.09;3.35;3.3;0.034533333;k;k;w;k;k;w;k;k;w;w;k;k;v;k;k;r;r;r;k;v;k;k;k;k;k;2;16;3;4;0;0;25;0.08;0.64;0.12;0.16;0;0
Pierre;20/jun;Ward;17:03;3;na;impact;11.06;10.96;11.19;11.07;0.0133;3.32;3.32;3.25;3.3;0.001633333;3.45;3.09;3.35;3.3;0.034533333;k;k;w;r;k;k;r;k;k;r;r;w;w;r;r;r;r;r;k;r;r;w;r;k;r;0;8;13;4;0;0;25;0;0.32;0.52;0.16;0;0
Eduardo;20/jun;Laura;14:50;3;voor;controle;10.85;10.94;10.75;10.85;0.009033333;3.3;3.29;3.26;3.28;0.000433333;3.28;3.07;3.12;3.16;0.012033333;v;k;k;k;k;v;k;k;k;k;k;k;w;k;w;k;k;k;w;k;k;k;k;k;k;2;20;0;3;0;0;25;0.08;0.8;0;0.12;0;0
Eduardo;20/jun;Laura;14:50;3;na;controle;10.85;10.94;10.75;10.85;0.009033333;3.3;3.29;3.26;3.28;0.000433333;3.28;3.07;3.12;3.16;0.012033333;v;k;v;k;k;k;k;k;k;k;k;v;k;k;k;k;k;k;k;k;k;k;k;k;k;3;22;0;0;0;0;25;0.12;0.88;0;0;0;0
Dean;20/060;Laura;14:50;3;voor;impact;11.69;11.78;12.02;11.83;0.0291;3.59;3.57;3.49;3.55;0.0028;4.09;4.2;4.26;4.18;0.007433333;v;k;k;k;k;k;k;k;k;k;k;k;r;r;k;k;k;k;k;k;k;v;r;r;k;2;19;4;0;0;0;25;0.08;0.76;0.16;0;0;0
Dean;20/060;Laura;14:50;3;na;impact;11.69;11.78;12.02;11.83;0.0291;3.59;3.57;3.49;3.55;0.0028;4.09;4.2;4.26;4.18;0.007433333;v;k;k;k;k;k;k;k;k;k;k;k;v;k;k;r;r;r;r;r;w;k;k;k;k;2;17;5;1;0;0;25;0.08;0.68;0.2;0.04;0;0
Jean-Pierre;20/jun;Ward;13:57;4;voor;impact;12.56;12.54;12.53;12.54;0.000233333;3.67;3.04;3.71;3.47;0.141233333;4.68;4.68;4.81;4.72;0.005633333;k;k;k;v;k;k;b;k;w;k;r;r;k;r;k;r;r;w;k;k;w;r;r;r;r;1;11;9;3;0;1;25;0.04;0.44;0.36;0.12;0;0.04
Jean-Pierre;20/jun;Ward;13:57;4;na;impact;12.56;12.54;12.53;12.54;0.000233333;3.67;3.04;3.71;3.47;0.141233333;4.68;4.68;4.81;4.72;0.005633333;v;k;k;b;b;k;r;r;r;r;r;r;r;r;r;r;r;r;r;w;r;r;k;k;k;1;6;15;1;0;2;25;0.04;0.24;0.6;0.04;0;0.08
Han;20/jun;Ward;12:58;4;voor;controle;12.52;12.72;12.57;12.6;0.010833333;3.8;3.84;3.81;3.82;0.000433333;3.64;3.55;3.54;3.58;0.003033333;v;k;k;k;k;k;k;k;k;k;k;v;k;k;w;k;k;k;k;v;k;k;k;k;k;3;21;0;1;0;0;25;0.12;0.84;0;0.04;0;0
Han;20/jun;Ward;12:58;4;na;controle;12.52;12.72;12.57;12.6;0.010833333;3.8;3.84;3.81;3.82;0.000433333;3.64;3.55;3.54;3.58;0.003033333;v;k;k;k;k;v;k;k;v;v;k;v;w;k;v;k;k;r;r;r;r;w;k;k;k;6;13;4;2;0;0;25;0.24;0.52;0.16;0.08;0;0
Jos;20/jun;Ward;12:58;4;voor;impact;13.29;13.19;13.33;13.27;0.0052;3.88;4.05;3.93;3.95;0.007633333;4.55;4.52;4.39;4.49;0.007233333;k;k;k;k;k;k;k;k;k;k;k;k;r;r;k;k;k;k;k;k;k;k;k;k;k;0;23;2;0;0;0;25;0;0.92;0.08;0;0;0
Jos;20/jun;Ward;12:58;4;na;impact;13.29;13.19;13.33;13.27;0.0052;3.88;4.05;3.93;3.95;0.007633333;4.55;4.52;4.39;4.49;0.007233333;v;k;k;k;k;k;r;r;r;k;r;r;r;r;k;k;k;r;r;k;k;w;k;r;k;1;13;10;1;0;0;25;0.04;0.52;0.4;0.04;0;0
Tom;20/jun;Ward;11:50;3;voor;impact;12.5;12.59;12.36;12.48;0.013433333;3.8;3.86;3.87;3.84;0.001433333;3.91;3.96;4.67;4.18;0.1807;v;r;r;k;r;v;w;k;v;r;r;r;r;r;r;r;w;r;w;r;r;r;w;r;r;3;2;16;4;0;0;25;0.12;0.08;0.64;0.16;0;0
Tom;20/jun;Ward;11:50;3;na;impact;12.5;12.59;12.36;12.48;0.013433333;3.8;3.86;3.87;3.84;0.001433333;3.91;3.96;4.67;4.18;0.1807;v;k;k;k;w;k;k;r;r;k;w;r;r;r;r;r;r;r;w;w;r;r;r;r;r;1;6;14;4;0;0;25;0.04;0.24;0.56;0.16;0;0
Jerry;20/jun;Ward;11:50;3;voor;controle;13.83;13.68;13.81;13.77;0.006633333;4.21;4.26;4.2;4.22;0.001033333;4.95;4.79;4.55;4.76;0.040533333;k;r;r;r;r;r;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;w;r;r;r;0;2;22;1;0;0;25;0;0.08;0.88;0.04;0;0
Jerry;20/jun;Ward;11:50;3;na;controle;13.83;13.68;13.81;13.77;0.006633333;4.21;4.26;4.2;4.22;0.001033333;4.95;4.79;4.55;4.76;0.040533333;k;r;v;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;1;1;23;0;0;0;25;0.04;0.04;0.92;0;0;0
Hagar;20/jun;Ward;11:05;5;voor;controle;12.03;12.11;12.06;12.07;0.001633333;4.15;4.09;4.14;4.13;0.001033333;4.73;4.61;5.08;4.81;0.059633333;v;k;r;r;r;r;r;r;w;r;w;w;w;r;r;r;r;w;r;r;r;r;r;w;w;1;1;16;7;0;0;25;0.04;0.04;0.64;0.28;0;0
Hagar;20/jun;Ward;11:05;5;na;controle;12.03;12.11;12.06;12.07;0.001633333;4.15;4.09;4.14;4.13;0.001033333;4.73;4.61;5.08;4.81;0.059633333;k;r;r;k;r;r;r;v;r;r;r;w;v;r;r;r;r;r;r;r;w;r;r;r;w;2;2;18;3;0;0;25;0.08;0.08;0.72;0.12;0;0
Rudy;20/jun;Laura;10:20;6;voor;impact;11.28;11.21;11.33;11.27;0.003633333;3.43;3.33;3.41;3.39;0.0028;3.13;3.17;3.18;3.16;0.0007;k;b;k;k;k;b;b;b;b;k;k;v;k;r;r;r;r;r;r;r;r;r;r;r;r;1;7;12;0;0;5;25;0.04;0.28;0.48;0;0;0.2
Rudy;20/jun;Laura;10:20;6;na;impact;11.28;11.21;11.33;11.27;0.003633333;3.43;3.33;3.41;3.39;0.0028;3.13;3.17;3.18;3.16;0.0007;k;k;k;k;k;k;k;k;k;b;k;k;k;r;r;r;r;r;r;r;w;w;r;r;r;0;12;10;2;0;1;25;0;0.48;0.4;0.08;0;0.04
Smeets;20/jun;Laura;13:32;5;voor;controle;13.55;13.54;13.93;13.67;0.049433333;3.94;3.89;3.9;3.91;0.0007;4.11;4.19;3.9;4.07;0.022433333;k;r;k;k;w;k;w;k;k;k;k;k;k;k;k;k;k;w;k;k;k;k;k;k;k;0;21;1;3;0;0;25;0;0.84;0.04;0.12;0;0
Smeets;20/jun;Laura;13:32;5;na;controle;13.55;13.54;13.93;13.67;0.049433333;3.94;3.89;3.9;3.91;0.0007;4.11;4.19;3.9;4.07;0.022433333;w;k;k;k;k;k;k;k;k;k;k;v;k;k;k;k;k;r;r;r;w;w;k;k;k;1;18;3;3;0;0;25;0.04;0.72;0.12;0.12;0;0
Angelo;20/jun;Laura;11:39;3;voor;controle;13.37;13.18;13.25;13.27;0.009233333;4.07;3.85;3.99;3.97;0.0124;4.29;4.24;4.14;4.22;0.005833333;r;k;k;k;k;r;r;r;r;r;r;r;r;r;r;r;r;k;k;v;r;k;k;k;r;1;9;15;0;0;0;25;0.04;0.36;0.6;0;0;0
Angelo;20/jun;Laura;11:39;3;na;controle;13.37;13.18;13.25;13.27;0.009233333;4.07;3.85;3.99;3.97;0.0124;4.29;4.24;4.14;4.22;0.005833333;r;r;r;r;r;r;w;r;r;r;r;r;r;r;r;r;k;k;k;v;k;k;r;r;r;1;5;18;1;0;0;25;0.04;0.2;0.72;0.04;0;0
Rob;20/jun;Eliane;12:33;9;voor;controle;13.25;13.21;13.18;13.21;0.001233333;3.49;3.7;3.52;3.57;0.0129;4.3;4.08;4.5;4.29;0.044133333;k;k;k;k;k;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;0;6;19;0;0;0;25;0;0.24;0.76;0;0;0
Rob;20/jun;Eliane;12:33;9;na;controle;13.25;13.21;13.18;13.21;0.001233333;3.49;3.7;3.52;3.57;0.0129;4.3;4.08;4.5;4.29;0.044133333;r;k;k;k;k;k;k;k;k;k;k;k;k;k;k;k;k;k;k;k;k;k;k;k;k;0;24;1;0;0;0;25;0;0.96;0.04;0;0;0
Corey;20/jun;Eliane;12:33;9;voor;impact;12.64;12.77;12.54;12.65;0.0133;3.81;3.86;3.87;3.85;0.001033333;3.61;3.8;3.87;3.76;0.0181;k;k;k;k;k;k;k;k;k;r;r;r;k;r;r;r;r;r;r;r;r;r;r;r;k;0;11;14;0;0;0;25;0;0.44;0.56;0;0;0
Corey;20/jun;Eliane;12:33;9;na;impact;12.64;12.77;12.54;12.65;0.0133;3.81;3.86;3.87;3.85;0.001033333;3.61;3.8;3.87;3.76;0.0181;r;k;k;k;k;r;k;k;k;r;r;r;r;r;r;r;r;r;r;r;r;r;k;r;r;0;8;17;0;0;0;25;0;0.32;0.68;0;0;0
Roel;20/jun;Celien;12:48;3;voor;impact;10.5;10.86;10.79;10.72;0.036433333;3.31;3.32;3.24;3.29;0.0019;3.45;3.37;3.7;3.51;0.029633333;k;k;k;k;k;k;k;k;k;k;k;k;k;k;k;k;k;r;r;r;r;r;r;k;v;1;18;6;0;0;0;25;0.04;0.72;0.24;0;0;0
Roel;20/jun;Celien;12:48;3;na;impact;10.5;10.86;10.79;10.72;0.036433333;3.31;3.32;3.24;3.29;0.0019;3.45;3.37;3.7;3.51;0.029633333;r;r;r;r;r;r;k;k;k;k;k;k;k;r;r;r;k;k;k;k;r;k;k;r;r;0;13;12;0;0;0;25;0;0.52;0.48;0;0;0
Maarten;20/jun;Celien;12:48;3;voor;controle;11.88;11.64;11.69;11.74;0.016033333;3.57;3.65;3.58;3.6;0.0019;3.73;3.73;3.75;3.74;0.000133333;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;k;r;r;r;r;r;r;0;2;23;0;0;0;25;0;0.08;0.92;0;0;0
Maarten;20/jun;Celien;12:48;3;na;controle;11.88;11.64;11.69;11.74;0.016033333;3.57;3.65;3.58;3.6;0.0019;3.73;3.73;3.75;3.74;0.000133333;k;r;r;r;r;r;r;r;r;r;r;w;r;r;r;r;r;r;w;k;k;k;k;r;r;0;5;18;2;0;0;25;0;0.2;0.72;0.08;0;0
Koen;20/jun;Femke;12:04;4;voor;impact;12.83;12.75;12.85;12.81;0.0028;3.96;3.88;3.92;3.92;0.0016;3.79;3.83;3.81;3.81;0.0004;k;r;k;k;k;k;k;k;k;k;k;k;k;k;k;b;r;r;r;r;r;r;r;r;r;0;14;10;0;0;1;25;0;0.56;0.4;0;0;0.04
Koen;20/jun;Femke;12:04;4;na;impact;12.83;12.75;12.85;12.81;0.0028;3.96;3.88;3.92;3.92;0.0016;3.79;3.83;3.81;3.81;0.0004;k;v;w;k;r;r;r;r;r;r;r;r;r;r;w;r;k;r;r;r;r;r;r;r;r;1;3;19;2;0;0;25;0.04;0.12;0.76;0.08;0;0
Thor;20/jun;Femke;12:04;4;voor;controle;12.33;12.24;12.42;12.33;0.0081;3.77;3.8;3.71;3.76;0.0021;4.03;4.06;3.96;4.02;0.002633333;v;k;k;k;k;k;k;k;k;r;r;v;v;k;b;r;r;r;r;r;r;r;r;r;r;3;9;12;0;0;1;25;0.12;0.36;0.48;0;0;0.04
Thor;20/jun;Femke;12:04;4;na;controle;12.33;12.24;12.42;12.33;0.0081;3.77;3.8;3.71;3.76;0.0021;4.03;4.06;3.96;4.02;0.002633333;k;v;k;b;v;b;r;r;r;r;r;r;r;r;r;r;b;k;k;r;r;r;r;r;r;2;4;16;0;0;3;25;0.08;0.16;0.64;0;0;0.12
Ferdinand;20/jun;Eliane;11:16;5;voor;controle;12.87;12.76;12.87;12.83;0.004033333;3.87;3.85;3.85;3.86;0.000133333;3.84;3.94;3.87;3.88;0.002633333;k;v;r;r;r;v;r;v;k;v;r;r;g;g;k;r;v;r;r;r;r;r;r;r;r;5;3;15;0;2;0;25;0.2;0.12;0.6;0;0.08;0
Ferdinand;20/jun;Eliane;11:16;5;na;controle;12.87;12.76;12.87;12.83;0.004033333;3.87;3.85;3.85;3.86;0.000133333;3.84;3.94;3.87;3.88;0.002633333;w;r;r;r;r;r;g;r;r;v;v;k;k;k;k;k;k;r;r;r;r;r;r;r;r;2;6;15;1;1;0;25;0.08;0.24;0.6;0.04;0.04;0
Harry;20/jun;Eliane;11:16;5;voor;impact;12.8;12.88;12.66;12.78;0.0124;3.99;3.87;3.96;3.94;0.0039;4.15;4.14;4.18;4.16;0.000433333;k;r;r;v;r;r;r;k;k;k;v;w;r;w;r;r;k;k;v;r;w;r;r;r;r;3;6;13;3;0;0;25;0.12;0.24;0.52;0.12;0;0
Harry;20/jun;Eliane;11:16;5;na;impact;12.8;12.88;12.66;12.78;0.0124;3.99;3.87;3.96;3.94;0.0039;4.15;4.14;4.18;4.16;0.000433333;r;r;k;k;k;k;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;0;5;20;0;0;0;25;0;0.2;0.8;0;0;0
Coco;20/jun;Eliane;10:32;4;voor;controle;11.2;11.25;11.56;11.34;0.038033333;3.45;3.62;3.61;3.56;0.0091;3.84;3.82;3.63;3.76;0.013433333;k;r;k;k;k;v;k;b;w;r;k;r;r;r;k;r;r;k;r;w;k;w;r;r;k;1;10;10;3;0;1;25;0.04;0.4;0.4;0.12;0;0.04
Coco;20/jun;Eliane;10:32;4;na;controle;11.2;11.25;11.56;11.34;0.038033333;3.45;3.62;3.61;3.56;0.0091;3.84;3.82;3.63;3.76;0.013433333;k;r;k;r;r;r;k;v;r;k;r;r;r;r;r;k;r;v;r;r;r;r;r;r;r;2;5;18;0;0;0;25;0.08;0.2;0.72;0;0;0
Ward;20/jun;Eliane;10:32;4;voor;controle;13.14;13.37;13.28;13.26;0.013433333;3.82;3.81;3.95;3.86;0.0061;4.4;4.32;4.4;4.37;0.002133333;v;k;v;k;k;k;r;r;r;r;r;r;r;r;r;r;r;k;k;b;k;w;r;r;k;2;8;13;1;0;1;25;0.08;0.32;0.52;0.04;0;0.04
Ward;20/jun;Eliane;10:32;4;na;controle;13.14;13.37;13.28;13.26;0.013433333;3.82;3.81;3.95;3.86;0.0061;4.4;4.32;4.4;4.37;0.002133333;r;r;k;r;r;r;r;r;r;r;r;r;r;r;w;r;r;r;r;r;r;r;r;r;r;0;1;23;1;0;0;25;0;0.04;0.92;0.04;0;0
Grumpy;21/jun;Celien;10:13;3;voor;controle;10.31;10.39;10.34;10.35;0.001633333;3.14;3.18;3.09;3.14;0.002033333;3.07;3.09;3.04;3.07;0.000633333;v;k;k;k;w;r;r;r;r;r;r;r;r;r;r;r;w;w;r;k;k;w;k;w;w;1;6;12;6;0;0;25;0.04;0.24;0.48;0.24;0;0
Grumpy;21/jun;Celien;10:13;3;na;controle;10.31;10.39;10.34;10.35;0.001633333;3.14;3.18;3.09;3.14;0.002033333;3.07;3.09;3.04;3.07;0.000633333;k;k;w;w;w;k;r;r;r;r;w;k;v;r;r;k;v;w;r;r;r;r;r;w;w;2;5;11;7;0;0;25;0.08;0.2;0.44;0.28;0;0
Simon;21/jun;Celien;10:13;3;voor;impact;12.73;12.95;12.84;12.84;0.0121;4.02;3.78;3.93;3.91;0.0147;4.07;4.14;4.09;4.1;0.0013;k;v;k;k;k;k;w;v;b;k;b;k;b;k;b;k;k;k;k;k;k;k;k;k;k;2;18;0;1;0;4;25;0.08;0.72;0;0.04;0;0.16
Simon;21/jun;Celien;10:13;3;na;impact;12.73;12.95;12.84;12.84;0.0121;4.02;3.78;3.93;3.91;0.0147;4.07;4.14;4.09;4.1;0.0013;v;k;k;k;r;r;r;r;r;r;r;w;r;r;r;r;r;r;k;v;k;k;k;w;k;2;8;13;2;0;0;25;0.08;0.32;0.52;0.08;0;0
Doc;21/jun;Eliane;11:18;3;voor;controle;12.69;12.51;12.61;12.6;0.008133333;3.84;3.79;3.8;3.81;0.0007;4.14;4.12;4.23;4.16;0.003433333;v;v;r;r;r;r;r;v;r;r;r;r;v;v;v;r;r;w;r;r;r;r;r;r;r;6;0;18;1;0;0;25;0.24;0;0.72;0.04;0;0
Doc;21/jun;Eliane;11:18;3;na;controle;12.69;12.51;12.61;12.6;0.008133333;3.84;3.79;3.8;3.81;0.0007;4.14;4.12;4.23;4.16;0.003433333;k;r;v;r;r;k;w;w;r;k;r;r;r;r;k;r;r;v;r;r;k;r;r;r;r;2;5;16;2;0;0;25;0.08;0.2;0.64;0.08;0;0
Droopy;21/jun;Eliane;11:18;3;voor;impact;13.25;13.2;13.18;13.21;0.0013;4.03;3.95;4.11;4.03;0.0064;4.49;4.42;4.45;4.45;0.001233333;v;r;w;w;r;w;r;w;r;k;w;v;w;k;w;k;w;w;r;w;v;w;w;r;r;3;3;7;12;0;0;25;0.12;0.12;0.28;0.48;0;0
Droopy;21/jun;Eliane;11:18;3;na;impact;13.25;13.2;13.18;13.21;0.0013;4.03;3.95;4.11;4.03;0.0064;4.49;4.42;4.45;4.45;0.001233333;k;r;k;k;k;k;k;w;v;r;r;k;r;r;r;r;w;r;r;r;r;r;r;r;r;1;7;15;2;0;0;25;0.04;0.28;0.6;0.08;0;0
Fabio;21/jun;Eliane;NA;NA;voor;controle;11.27;11.33;11.39;11.33;0.0036;3.6;3.58;3.57;3.58;0.000233333;3.54;3.32;3.41;3.42;0.012233333;k;k;k;v;k;k;k;k;k;k;k;k;k;k;k;k;k;k;k;r;r;r;r;r;r;1;18;6;0;0;0;25;0.04;0.72;0.24;0;0;0
Fabio;21/jun;Eliane;NA;NA;na;controle;11.27;11.33;11.39;11.33;0.0036;3.6;3.58;3.57;3.58;0.000233333;3.54;3.32;3.41;3.42;0.012233333;r;r;k;k;k;k;k;r;r;w;k;k;k;r;r;r;r;r;r;r;r;r;r;r;r;0;8;16;1;0;0;25;0;0.32;0.64;0.04;0;0
Marcel;21/jun;Eliane;NA;NA;voor;impact;10.3;10.69;10.48;10.49;0.0381;3.23;3.25;3.19;3.22;0.000933333;3.3;3.43;3.18;3.3;0.015633333;v;k;k;k;k;k;k;k;k;k;k;k;k;k;k;k;v;k;r;r;k;r;r;r;r;2;17;6;0;0;0;25;0.08;0.68;0.24;0;0;0
Marcel;21/jun;Eliane;NA;NA;na;impact;10.3;10.69;10.48;10.49;0.0381;3.23;3.25;3.19;3.22;0.000933333;3.3;3.43;3.18;3.3;0.015633333;k;r;k;r;r;r;k;r;r;r;r;r;r;k;r;r;r;r;k;r;r;r;r;r;r;0;5;20;0;0;0;25;0;0.2;0.8;0;0;0
James;21/jun;Eliane;10:08;3;voor;controle;13.4;13.29;13.28;13.32;0.004433333;4.03;3.93;3.95;3.97;0.0028;4.74;4.66;4.73;4.71;0.0019;r;r;r;r;r;r;v;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;1;0;24;0;0;0;25;0.04;0;0.96;0;0;0
James;21/jun;Eliane;10:08;3;na;controle;13.4;13.29;13.28;13.32;0.004433333;4.03;3.93;3.95;3.97;0.0028;4.74;4.66;4.73;4.71;0.0019;k;k;r;r;r;r;r;r;r;k;r;r;k;r;k;r;r;r;r;r;r;r;r;r;r;0;5;20;0;0;0;25;0;0.2;0.8;0;0;0
Jeremy;21/jun;Eliane;10:08;3;voor;impact;12.96;12.93;12.89;12.93;0.001233333;3.87;3.86;3.8;3.84;0.001433333;3.84;3.79;3.86;3.83;0.0013;v;r;r;r;k;r;r;r;v;k;r;r;k;r;r;r;r;r;r;r;r;k;r;r;r;2;4;19;0;0;0;25;0.08;0.16;0.76;0;0;0
Jeremy;21/jun;Eliane;10:08;3;na;impact;12.96;12.93;12.89;12.93;0.001233333;3.87;3.86;3.8;3.84;0.001433333;3.84;3.79;3.86;3.83;0.0013;k;g;r;r;r;r;w;k;r;r;k;k;w;r;k;v;r;r;r;r;r;r;r;r;r;1;5;16;2;1;0;25;0.04;0.2;0.64;0.08;0.04;0
Willy;21/jun;Celien;11:05;2;voor;impact;13.36;13.3;13.3;13.32;0.0012;3.37;3.73;3.75;3.62;0.045733333;4.42;4.56;4.44;4.47;0.005733333;v;v;w;k;r;r;r;k;k;r;v;w;r;r;r;r;r;k;k;r;r;r;r;r;k;3;6;14;2;0;0;25;0.12;0.24;0.56;0.08;0;0
Willy;21/jun;Celien;11:05;2;na;impact;13.36;13.3;13.3;13.32;0.0012;3.37;3.73;3.75;3.62;0.045733333;4.42;4.56;4.44;4.47;0.005733333;k;k;k;k;k;k;k;k;r;k;w;w;r;r;k;r;r;r;r;k;k;r;r;r;r;0;12;11;2;0;0;25;0;0.48;0.44;0.08;0;0
Lassie;21/jun;Celien;11:05;2;voor;controle;10.12;10.06;10.04;10.07;0.001733333;2.64;2.84;2.65;2.71;0.0127;2.99;2.88;2.99;2.95;0.004033333;k;w;r;v;r;k;k;k;v;k;k;k;k;r;r;r;r;k;k;r;r;r;r;r;r;2;10;12;1;0;0;25;0.08;0.4;0.48;0.04;0;0
Lassie;21/jun;Celien;11:05;2;na;controle;10.12;10.06;10.04;10.07;0.001733333;2.64;2.84;2.65;2.71;0.0127;2.99;2.88;2.99;2.95;0.004033333;k;k;k;k;k;v;k;k;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;v;2;8;15;0;0;0;25;0.08;0.32;0.6;0;0;0
Billy;21/jun;Celien;11:59;2;voor;controle;12.24;12.35;12.12;12.24;0.013233333;3.54;3.58;3.52;3.55;0.000933333;3.71;3.65;3.65;3.67;0.0012;k;r;r;r;r;k;w;k;k;k;k;k;k;k;r;r;k;k;k;k;k;r;r;k;r;0;15;9;1;0;0;25;0;0.6;0.36;0.04;0;0
Billy;21/jun;Celien;11:59;2;na;controle;12.24;12.35;12.12;12.24;0.013233333;3.54;3.58;3.52;3.55;0.000933333;3.71;3.65;3.65;3.67;0.0012;k;r;k;v;k;k;v;k;r;k;k;k;r;r;r;r;r;r;r;r;r;r;r;r;r;2;8;15;0;0;0;25;0.08;0.32;0.6;0;0;0
Joe;21/jun;Celien;11:59;2;voor;impact;12.62;12.95;12.75;12.77;0.027633333;3.78;3.54;3.5;3.61;0.022933333;3.95;4.05;4.05;4.02;0.003333333;k;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;0;2;23;0;0;0;25;0;0.08;0.92;0;0;0
Joe;21/jun;Celien;11:59;2;na;impact;12.62;12.95;12.75;12.77;0.027633333;3.78;3.54;3.5;3.61;0.022933333;3.95;4.05;4.05;4.02;0.003333333;k;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;k;r;r;r;0;3;22;0;0;0;25;0;0.12;0.88;0;0;0
Dopey;21/jun;Ward;13:00;4;voor;controle;12.97;13.12;13.1;13.06;0.006633333;4.04;4.01;3.94;4;0.002633333;4.16;4.14;4.17;4.16;0.000233333;v;v;k;k;k;w;r;r;k;k;v;k;r;r;r;r;r;r;r;r;r;r;r;k;k;3;8;13;1;0;0;25;0.12;0.32;0.52;0.04;0;0
Dopey;21/jun;Ward;13:00;4;na;controle;12.97;13.12;13.1;13.06;0.006633333;4.04;4.01;3.94;4;0.002633333;4.16;4.14;4.17;4.16;0.000233333;v;k;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;1;2;22;0;0;0;25;0.04;0.08;0.88;0;0;0
Fiddy;21/jun;Ward;13:00;4;voor;impact;11.66;11.51;11.51;11.56;0.0075;3.6;3.57;3.63;3.6;0.0009;4.27;4.12;4.25;4.21;0.006633333;v;k;v;k;k;k;k;v;k;k;k;k;k;k;k;k;k;k;k;k;k;k;k;k;r;3;21;1;0;0;0;25;0.12;0.84;0.04;0;0;0
Fiddy;21/jun;Ward;13:00;4;na;impact;11.66;11.51;11.51;11.56;0.0075;3.6;3.57;3.63;3.6;0.0009;4.27;4.12;4.25;4.21;0.006633333;k;k;r;k;k;r;r;k;r;r;r;r;r;r;r;k;r;r;r;r;r;r;r;r;r;0;6;19;0;0;0;25;0;0.24;0.76;0;0;0
Zorro;21/jun;Laura;10:55;2;voor;impact;13.34;13.3;13.2;13.28;0.0052;3.9;4.05;4.02;3.99;0.0063;3.89;3.88;3.74;3.84;0.007033333;k;r;r;r;r;v;r;w;w;r;r;k;r;r;w;r;r;r;r;r;w;r;w;r;r;1;2;17;5;0;0;25;0.04;0.08;0.68;0.2;0;0
Zorro;21/jun;Laura;10:55;2;na;impact;13.34;13.3;13.2;13.28;0.0052;3.9;4.05;4.02;3.99;0.0063;3.89;3.88;3.74;3.84;0.007033333;k;k;k;w;k;w;w;w;w;r;r;r;r;r;r;r;k;k;r;r;r;r;r;r;r;0;6;14;5;0;0;25;0;0.24;0.56;0.2;0;0
Spirit;21/jun;Laura;10:55;2;voor;controle;12.85;12.86;12.74;12.82;0.004433333;3.88;3.79;3.78;3.82;0.003033333;4.14;4.23;4.18;4.18;0.002033333;v;v;r;k;k;k;w;k;k;k;k;k;k;k;k;k;k;k;w;w;r;r;k;k;k;2;17;3;3;0;0;25;0.08;0.68;0.12;0.12;0;0
Spirit;21/jun;Laura;10:55;2;na;controle;12.85;12.86;12.74;12.82;0.004433333;3.88;3.79;3.78;3.82;0.003033333;4.14;4.23;4.18;4.18;0.002033333;r;r;r;w;k;k;v;k;k;k;k;k;v;k;k;k;k;v;w;r;r;r;r;k;k;3;13;7;2;0;0;25;0.12;0.52;0.28;0.08;0;0
