Wesp;Datum;Waarnemer;Beginuur;Duurtag;Voor/Na;Controle/Impact;WL1;WL2;WL3;averageWL;varWL;WW1;WW2;WW3;averageWW;varWW;ITS1;ITS2;ITS3;averageITS;varITS;0;0.5;1;1.5;2;2.5;3;3.5;4;4.5;5;5.5;6;6.5;7;7.5;8;8.5;9;9.5;10;10.5;11;11.5;12;somv;somk;somr;somw;somg;somb;somalles;percv;perck;percr;percw;percg;percb
Joris;19/jun;Laura;13:46;7;voor;impact;12.6;12.47;12.62;12.56;0.006633333;3.52;3.51;3.66;3.56;0.007033333;3.95;3.91;4.08;3.98;0.0079;r;r;k;r;r;r;r;r;r;k;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;0;3;22;0;0;0;25;0;0.12;0.88;0;0;0
Joris;19/jun;Laura;13:46;7;na;impact;12.6;12.47;12.62;12.56;0.006633333;3.52;3.51;3.66;3.56;0.007033333;3.95;3.91;4.08;3.98;0.0079;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;0;1;24;0;0;0;25;0;0.04;0.96;0;0;0
Francis;19/jun;Laura;13:46;7;voor;controle;13.24;13.05;13.15;13.15;0.009033333;4.3;4.03;4.21;4.18;0.0189;3.63;3.75;3.59;3.66;0.006933333;v;r;r;k;k;k;v;r;r;r;b;w;r;r;r;r;r;r;r;r;r;r;r;r;r;2;3;18;1;0;1;25;0.08;0.12;0.72;0.04;0;0.04
Francis;19/jun;Laura;13:46;7;na;controle;13.24;13.05;13.15;13.15;0.009033333;;4.03;4.21;4.12;0.0162;3.63;3.75;3.59;3.66;0.006933333;r;k;r;g;k;k;r;r;r;w;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;0;3;20;1;1;0;25;0;0.12;0.8;0.04;0.04;0
Benny;19/jun;Eliane;14:34;5;voor;controle;12.41;12.48;12.92;12.6;0.076433333;4.3;3.74;3.85;3.96;0.088033333;3.31;3.38;3.37;3.35;0.001433333;k;v;v;k;b;k;k;r;v;k;w;r;k;k;w;w;w;r;r;r;r;r;r;r;r;3;7;10;4;0;1;25;0.12;0.28;0.4;0.16;0;0.04
Benny;19/jun;Eliane;14:34;5;na;controle;12.41;12.48;12.92;12.6;0.076433333;3.74;3.74;3.85;3.78;0.004033333;3.31;3.38;3.37;3.35;0.001433333;w;w;k;k;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;k;r;r;r;r;k;0;5;18;2;0;0;25;0;0.2;0.72;0.08;0;0
Sammy;19/jun;Eliane;14:34;5;voor;impact;11.85;12.09;12.13;12.02;0.022933333;3.9;4.05;3.74;3.9;0.024033333;3.58;3.58;3.61;3.59;0.0003;v;v;v;v;r;r;v;r;v;w;w;r;r;k;k;k;w;v;v;r;k;r;w;r;r;8;4;9;4;0;0;25;0.32;0.16;0.36;0.16;0;0
Sammy;19/jun;Eliane;14:34;5;na;impact;11.85;12.09;12.13;12.02;0.022933333;3.9;4.05;3.74;3.9;0.024033333;3.58;3.58;3.61;3.59;0.0003;w;w;k;w;k;w;w;r;r;r;w;r;v;r;r;r;r;r;r;r;r;r;r;r;r;1;2;16;6;0;0;25;0.04;0.08;0.64;0.24;0;0
Alain;19/jun;Laura;14:54;6;voor;impact;11.98;12.03;11.96;11.99;0.0013;3.72;3.69;3.72;3.71;0.0003;3.77;3.86;3.73;3.79;0.004433333;v;k;k;k;k;r;v;r;k;k;k;k;k;k;k;k;k;k;v;k;k;k;k;k;k;3;20;2;0;0;0;25;0.12;0.8;0.08;0;0;0
Alain;19/jun;Laura;14:54;6;na;impact;11.98;12.03;11.96;11.99;0.0013;3.72;3.69;3.72;3.71;0.0003;3.77;3.86;3.73;3.79;0.004433333;k;k;k;v;k;r;r;r;r;r;r;k;k;v;k;k;k;k;k;k;k;k;k;r;r;2;15;8;0;0;0;25;0.08;0.6;0.32;0;0;0
